wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.35,0.25,0.4,0.48592818638063373,0.2352284206252538,dRID:AD,-0.5352284206252538
0.35,0.3,0.35,0.4458177880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.35,0.35,0.3,0.40570738978547527,0.17642131546894033,dRID:AD,-0.4764213154689404
0.35,0.4,0.25,0.3655969914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.35,0.45,0.2,0.3254865931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.35,0.5,0.15,0.28537619489273763,0.08821065773447016,dRID:A0,-0.30000000000000004
0.35,0.55,0.1,0.24526579659515846,0.05880710515631345,dRID:A0,-0.30000000000000004
0.35,0.6,0.05,0.20515539829757923,0.029403552578156723,dRID:A0,-0.30000000000000004
0.35,0.65,0.0,0.16504500000000003,0.0,dRID:A0,-0.30000000000000004
0.4,0.0,0.6,0.6424047795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.4,0.05,0.55,0.6022943812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.4,0.1,0.5,0.5621839829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.4,0.15,0.45,0.522073584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.4,0.2,0.4,0.4819631863806338,0.2352284206252538,dRID:AD,-0.5352284206252538
0.4,0.25,0.35,0.4418527880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.4,0.3,0.3,0.4017423897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.4,0.35,0.25,0.3616319914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.4,0.4,0.2,0.3215215931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.4,0.45,0.15,0.2814111948927377,0.08821065773447016,dRID:A0,-0.30000000000000004
0.4,0.5,0.1,0.24130079659515846,0.05880710515631345,dRID:A0,-0.30000000000000004
0.4,0.55,0.05,0.20119039829757923,0.029403552578156723,dRID:A0,-0.30000000000000004
0.4,0.6,0.0,0.16108,0.0,dRID:A0,-0.30000000000000004
